9月收支财务报表,Unnamed: 3,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,,,,,,,,,,,
,,,,,,,,,,,
"财务统计
STATISTICS",,9月收支明细 DETAIL,,,,,,,,,
,,序号,日期,收入,,,,支出,,,
月份查询,,,,项目,金额（¥）,备注,时间,项目,金额（¥）,备注,时间
9月,▼,1,2024-09-01 00:00:00,8月结余,9733.38,,,广告配套,49.87,fb个号*2,19:17:00
收入,,2,2024-09-03 00:00:00,,,,,广告配套,349.87,fb个号*10,15:35:00
9733.38,,3,2024-09-04 00:00:00,,,,,广告配套,124.87,fb个号*5,17:27:00
支出,,4,2024-09-04 00:00:00,,,,,广告配套,100,BM*5,20:16:00
2017.82,,5,2024-09-05 00:00:00,,,,,广告配套,100,BM*5,12:15:00
结余,,6,2024-09-05 00:00:00,,,,,广告配套,100,BM*5,13:00:00
7715.56,,7,2024-09-05 00:00:00,,,,,广告配套,200,fb个号*10,14:06:00
,,8,2024-09-06 00:00:00,,,,,广告配套,100,BM*5,12:14:00
任意时段查询,,9,2024-09-10 00:00:00,,,,,广告配套,100,BM*5,11:48:00
起始日期：,,10,2024-09-10 00:00:00,,,,,广告配套,100,BM*5,17:42:00
2024-01-01 00:00:00,,11,2024-09-11 00:00:00,,,,,广告配套,153.21,浏览器充值,17:32:00
结束日期：,,12,2024-09-11 00:00:00,,,,,广告配套,100,BM*5,18：11
2099-04-30 00:00:00,,13,2024-09-17 00:00:00,,,,,广告配套,40,BM*2,22:24:00
收入,,14,2024-09-18 00:00:00,,,,,广告配套,100,BM*5,13：06
9733.38,,15,2024-09-20 00:00:00,,,,,广告配套,100,BM*5,14：48
支出,,16,2024-09-24 00:00:00,,,,,广告配套,100,BM*5,15:58:00
2017.82,,17,2024-09-24 00:00:00,,,,,广告配套,100,BM*5,18:16:00
结余,,18,,,,,,,,,
7715.56,,19,,,,,,,,,
,,20,,,,,,,,,
,,21,,,,,,,,,
,,22,,,,,,,,,
,,23,,,,,,,,,
,,24,,,,,,,,,
,,25,,,,,,,,,
,,26,,,,,,,,,
,,27,,,,,,,,,
,,28,,,,,,,,,
,,29,,,,,,,,,
,,30,,,,,,,,,
,,31,,,,,,,,,
,,32,,,,,,,,,
,,33,,,,,,,,,
,,34,,,,,,,,,
,,35,,,,,,,,,
,,36,,,,,,,,,
,,37,,,,,,,,,
,,38,,,,,,,,,
,,39,,,,,,,,,
,,40,,,,,,,,,
,,41,,,,,,,,,
,,42,,,,,,,,,
,,43,,,,,,,,,
,,44,,,,,,,,,
,,45,,,,,,,,,
,,46,,,,,,,,,
,,47,,,,,,,,,
,,48,,,,,,,,,
,,49,,,,,,,,,
,,50,,,,,,,,,
,,51,,,,,,,,,
,,52,,,,,,,,,
,,53,,,,,,,,,
,,54,,,,,,,,,
,,55,,,,,,,,,
,,56,,,,,,,,,
,,57,,,,,,,,,
,,58,,,,,,,,,
,,59,,,,,,,,,
,,60,,,,,,,,,
,,61,,,,,,,,,
,,62,,,,,,,,,
,,63,,,,,,,,,
,,64,,,,,,,,,
,,65,,,,,,,,,
,,66,,,,,,,,,
,,67,,,,,,,,,
,,68,,,,,,,,,
,,69,,,,,,,,,
,,70,,,,,,,,,
,,71,,,,,,,,,
,,72,,,,,,,,,
,,73,,,,,,,,,
,,74,,,,,,,,,
,,75,,,,,,,,,
,,76,,,,,,,,,
,,77,,,,,,,,,
,,78,,,,,,,,,
,,79,,,,,,,,,
,,80,,,,,,,,,
,,81,,,,,,,,,
,,82,,,,,,,,,
,,83,,,,,,,,,
,,84,,,,,,,,,
,,85,,,,,,,,,
,,86,,,,,,,,,
,,87,,,,,,,,,
,,88,,,,,,,,,
,,89,,,,,,,,,
,,90,,,,,,,,,
,,91,,,,,,,,,
,,92,,,,,,,,,
,,93,,,,,,,,,
,,94,,,,,,,,,
,,95,,,,,,,,,
,,96,,,,,,,,,
,,97,,,,,,,,,
,,98,,,,,,,,,
,,99,,,,,,,,,
,,100,,,,,,,,,
,,101,,,,,,,,,
,,102,,,,,,,,,
,,103,,,,,,,,,
,,104,,,,,,,,,
,,105,,,,,,,,,
,,106,,,,,,,,,
,,107,,,,,,,,,
,,108,,,,,,,,,
,,109,,,,,,,,,
,,110,,,,,,,,,
,,111,,,,,,,,,
,,112,,,,,,,,,
,,113,,,,,,,,,
,,114,,,,,,,,,
,,115,,,,,,,,,
,,116,,,,,,,,,
,,117,,,,,,,,,
,,118,,,,,,,,,
,,119,,,,,,,,,
,,120,,,,,,,,,
,,121,,,,,,,,,
,,122,,,,,,,,,
,,123,,,,,,,,,
,,124,,,,,,,,,
,,125,,,,,,,,,
,,126,,,,,,,,,
,,127,,,,,,,,,
,,128,,,,,,,,,
,,129,,,,,,,,,
,,130,,,,,,,,,
,,131,,,,,,,,,
,,132,,,,,,,,,
,,133,,,,,,,,,
,,134,,,,,,,,,
,,135,,,,,,,,,
,,136,,,,,,,,,
,,137,,,,,,,,,
,,138,,,,,,,,,
,,139,,,,,,,,,
,,140,,,,,,,,,
,,141,,,,,,,,,
,,142,,,,,,,,,
,,143,,,,,,,,,
,,144,,,,,,,,,
,,145,,,,,,,,,
,,146,,,,,,,,,
,,147,,,,,,,,,
,,148,,,,,,,,,
,,149,,,,,,,,,
,,150,,,,,,,,,
,,151,,,,,,,,,
,,152,,,,,,,,,
,,153,,,,,,,,,
,,154,,,,,,,,,
,,155,,,,,,,,,
,,156,,,,,,,,,
,,157,,,,,,,,,
,,158,,,,,,,,,
,,159,,,,,,,,,
,,160,,,,,,,,,
,,161,,,,,,,,,
,,162,,,,,,,,,
,,163,,,,,,,,,
,,164,,,,,,,,,
,,165,,,,,,,,,
,,166,,,,,,,,,
,,167,,,,,,,,,
,,168,,,,,,,,,
,,169,,,,,,,,,
,,170,,,,,,,,,
,,171,,,,,,,,,
,,172,,,,,,,,,
,,173,,,,,,,,,
,,174,,,,,,,,,
,,175,,,,,,,,,
,,176,,,,,,,,,
,,177,,,,,,,,,
,,178,,,,,,,,,
,,179,,,,,,,,,
,,180,,,,,,,,,
,,181,,,,,,,,,
,,182,,,,,,,,,
,,183,,,,,,,,,
,,184,,,,,,,,,
,,185,,,,,,,,,
,,186,,,,,,,,,
,,187,,,,,,,,,
,,188,,,,,,,,,
,,189,,,,,,,,,
,,190,,,,,,,,,
,,191,,,,,,,,,
,,192,,,,,,,,,
,,193,,,,,,,,,
,,194,,,,,,,,,
,,195,,,,,,,,,
,,196,,,,,,,,,
,,197,,,,,,,,,
,,198,,,,,,,,,
,,199,,,,,,,,,
,,200,,,,,,,,,
,,201,,,,,,,,,
,,202,,,,,,,,,
,,203,,,,,,,,,
,,204,,,,,,,,,
,,205,,,,,,,,,
,,206,,,,,,,,,
,,207,,,,,,,,,
,,208,,,,,,,,,
,,209,,,,,,,,,
,,210,,,,,,,,,
,,211,,,,,,,,,
,,212,,,,,,,,,
,,213,,,,,,,,,
,,214,,,,,,,,,
,,215,,,,,,,,,
,,216,,,,,,,,,
,,217,,,,,,,,,
,,218,,,,,,,,,
,,219,,,,,,,,,
,,220,,,,,,,,,
,,221,,,,,,,,,
,,222,,,,,,,,,
,,223,,,,,,,,,
,,224,,,,,,,,,
,,225,,,,,,,,,
,,226,,,,,,,,,
,,227,,,,,,,,,
,,228,,,,,,,,,
,,229,,,,,,,,,
,,230,,,,,,,,,
,,231,,,,,,,,,
,,232,,,,,,,,,
,,233,,,,,,,,,
,,234,,,,,,,,,
,,235,,,,,,,,,
